Number,Name
201,Total Surface Gas Volume (non-flashed)
202,Liquid Viscosity (in situ)
203,Vapor Viscosity (in situ)
204,Liquid Density (in situ)
205,Vapor Density (in situ)
206,GOR (in situ)
207,GOR
208,API
209,Expelled GOR (in situ)
210,Expelled GOR (surface)
211,Expelled API Gravity
212,GOR+
213,Expulsion Onset
214,Facies
215,Lithology
216,Tmax_Burnham(1989)_TII
217,Tmax_Burnham(1989)_TIII
218,Tmax (all)
